Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0,-0.011189778645833334,0.015597873263888888,-0.028143988715277776,-0.13525390625,0.04931640625,0.98291015625
1,-0.012546115451388888,0.019327799479166668,-0.0213623046875,-0.12353515625,0.0458984375,0.98388671875
2,-0.014241536458333334,0.023057725694444444,-0.004408094618055556,-0.13330078125,0.04443359375,1.005859375
3,-0.008816189236111112,0.014919704861111112,0.005086263020833333,-0.13720703125,0.04833984375,0.9892578125
4,-0.013563368055555556,0.028483072916666668,0.025770399305555556,-0.1318359375,0.04736328125,0.98876953125
5,-0.014919704861111112,-0.014919704861111112,0.037299262152777776,-0.1416015625,0.05224609375,0.98486328125
6,-0.018310546875,-0.022718641493055556,0.052897135416666664,-0.1357421875,0.04150390625,0.97314453125
7,-0.035942925347222224,-0.0244140625,0.04136827256944445,-0.11376953125,0.04833984375,1.00048828125
8,-0.018310546875,-0.009494357638888888,0.027126736111111112,-0.11474609375,0.0439453125,0.98681640625
9,-0.026448567708333332,-0.016615125868055556,0.04848904079861111,-0.08984375,0.03564453125,0.98388671875
10,-0.032891167534722224,-0.056966145833333336,-0.003390842013888889,-0.140625,0.04150390625,0.9931640625
11,-0.016615125868055556,-0.020684136284722224,0.014241536458333334,-0.1474609375,0.03173828125,1.001953125
12,-0.0091552734375,-0.037638346354166664,0.016954210069444444,-0.12060546875,0.02490234375,0.98193359375
13,-0.035603841145833336,-0.07459852430555555,0.0335693359375,-0.1171875,0.02783203125,0.95849609375
14,-0.03831651475694445,0.008816189236111112,0.005086263020833333,-0.08447265625,0.03662109375,0.9970703125
15,-0.0152587890625,-0.0091552734375,-0.0030517578125,-0.11083984375,0.01904296875,1.00537109375
16,-0.0152587890625,0.011189778645833334,-0.0003390842013888889,-0.08056640625,0.00830078125,1.013671875
17,0.006442599826388889,-0.023735894097222224,-0.0244140625,-0.111328125,0.025390625,0.98876953125
18,-0.0016954210069444445,0.013563368055555556,-0.018988715277777776,-0.14404296875,0.025390625,0.966796875
19,-0.028822157118055556,0.0020345052083333335,0.0152587890625,-0.1240234375,0.01953125,0.95849609375
20,-0.04408094618055555,0.0010172526041666667,0.018649631076388888,-0.10302734375,0.02587890625,0.9638671875
21,-0.04713270399305555,0.008477105034722222,0.022379557291666668,-0.08251953125,0.001953125,0.94970703125
22,-0.0918918185763889,-0.038994683159722224,0.015936957465277776,-0.11474609375,-0.001953125,0.90625
23,-0.14750162760416666,-0.014580620659722222,0.020345052083333332,-0.12353515625,0.00830078125,0.98095703125
24,-0.1312255859375,-0.023396809895833332,0.015936957465277776,-0.14990234375,-0.0224609375,1.01904296875
25,-0.0942654079861111,0.008477105034722222,0.04102918836805555,-0.060546875,-0.0791015625,1.04541015625
26,-0.009494357638888888,-0.05662706163194445,0.060017903645833336,-0.07861328125,-0.056640625,1.1279296875
27,0.030856662326388888,-0.0518798828125,0.11969672309027778,-0.05224609375,-0.076171875,0.998046875
28,-0.0701904296875,-0.09528266059027778,0.10748969184027778,-0.033203125,-0.04736328125,0.84521484375
29,-0.1888699001736111,0.018649631076388888,0.06273057725694445,-0.00830078125,-0.06298828125,1.0654296875
30,-0.0857883029513889,0.06137424045138889,0.05018446180555555,-0.0576171875,-0.13671875,1.3837890625
31,0.11698404947916667,-0.08341471354166667,0.08646647135416667,-0.08935546875,-0.125,1.3154296875
32,0.1556396484375,-0.0091552734375,0.05628797743055555,-0.01416015625,-0.10107421875,1.22314453125
33,0.2285427517361111,-0.026448567708333332,-0.010511610243055556,-0.0966796875,-0.05078125,1.22998046875
34,0.2556694878472222,0.022718641493055556,0.06239149305555555,-0.03173828125,0.0126953125,1.33837890625
35,0.3824869791666667,-0.1003689236111111,-0.040351019965277776,-0.02099609375,0.04541015625,1.33349609375
36,0.5662706163194444,0.05527072482638889,-0.014241536458333334,-0.16455078125,0.01513671875,1.328125
37,0.5818684895833334,0.3560384114583333,0.08612738715277778,-0.26611328125,0.0595703125,1.1552734375
38,0.5466037326388888,-0.06883409288194445,0.08002387152777778,-0.2822265625,0.1650390625,1.0634765625
39,0.7269965277777778,0.07866753472222222,0.2078586154513889,-0.29296875,0.15576171875,0.9716796875
40,0.8470323350694444,0.1495361328125,0.2895779079861111,-0.31103515625,0.1552734375,0.7001953125
41,0.8358425564236112,-0.042724609375,0.4133436414930556,-0.0048828125,0.236328125,0.3974609375
42,0.6178114149305556,-0.011528862847222222,0.3424750434027778,0.12890625,0.20849609375,0.12646484375
43,0.2953423394097222,0.0888400607638889,0.18107096354166666,0.1904296875,0.23583984375,-0.04052734375
44,0.04136827256944445,0.020005967881944444,0.09969075520833333,0.01025390625,0.27978515625,-0.04931640625
45,-0.421142578125,0.21464029947916666,0.10884602864583333,-0.0458984375,0.27685546875,-0.06005859375
46,-0.8622911241319444,0.017293294270833332,0.037299262152777776,-0.220703125,0.18994140625,0.18994140625
47,-0.9114583333333334,0.025770399305555556,0.16038682725694445,-0.03125,0.16796875,0.525390625
48,-0.9897867838541666,0.3868950737847222,-0.079345703125,0.3720703125,0.0625,0.64306640625
49,-1.1440700954861112,0.2977159288194444,-0.4587809244791667,-0.005859375,0.03857421875,1.34326171875
50,-0.8412679036458334,0.1410590277777778,-0.2231174045138889,-0.47119140625,0.1533203125,2.24072265625
51,-0.4163953993055556,0.1491970486111111,-0.053914388020833336,-0.1826171875,0.115234375,1.71875
52,-0.4208034939236111,-0.10884602864583333,-0.16988118489583334,-0.31103515625,0.0439453125,1.6220703125
53,-0.2434624565972222,-0.3963894314236111,-0.022718641493055556,-0.43603515625,0.07080078125,1.859375
54,0.020345052083333332,-0.14851888020833334,0.08680555555555555,0.0048828125,-0.0244140625,1.73828125
55,0.2071804470486111,-0.12953016493055555,-0.1190185546875,-0.00390625,-0.0478515625,1.72412109375
56,0.3204345703125,-0.2604166666666667,-0.2071804470486111,-0.201171875,0.021484375,1.8486328125
57,0.6452772352430556,-0.1007080078125,-0.10138617621527778,-0.18408203125,-0.07275390625,1.7333984375
58,0.8402506510416666,-0.035942925347222224,-0.1186794704861111,-0.10107421875,-0.171875,1.2529296875
59,1.0511610243055556,-0.1854790581597222,-0.2970377604166667,-0.16796875,-0.26953125,1.001953125
60,1.1057535807291667,0.4686143663194444,0.2044677734375,0.03466796875,-0.18798828125,0.30322265625
61,0.8507622612847222,0.22108289930555555,0.1380072699652778,0.29150390625,-0.04443359375,-0.19921875
62,0.3475613064236111,-0.10918511284722222,-0.11766221788194445,0.12353515625,0.0087890625,-0.0595703125
63,-0.01220703125,0.1369900173611111,-0.07561577690972222,0.01513671875,-0.0126953125,-0.15966796875
64,-0.4499647352430556,0.024074978298611112,-0.079345703125,0.05126953125,-0.06005859375,-0.10400390625
65,-0.8429633246527778,-0.4113091362847222,-0.034247504340277776,0.20361328125,-0.1865234375,-0.09033203125
66,-1.2237548828125,0.1095241970486111,0.0457763671875,-0.22021484375,0.05419921875,0.14453125
67,-0.9867350260416666,0.5774603949652778,0.0790066189236111,-0.087890625,0.13720703125,1.1533203125
68,-0.8521185980902778,-0.3187391493055556,-0.013224283854166666,-0.55810546875,0.38671875,1.85498046875
69,-0.3621419270833333,0.043741861979166664,0.002373589409722222,-0.14013671875,0.4091796875,2.0087890625
70,-0.09697808159722222,0.004069010416666667,-0.1400417751736111,-0.0263671875,0.15771484375,1.83984375
71,0.015597873263888888,-0.011528862847222222,-0.128173828125,-0.09033203125,0.0634765625,1.79150390625
72,0.12919108072916666,-0.05221896701388889,-0.1040988498263889,-0.5166015625,0.03271484375,1.29833984375
73,0.21158854166666666,0.016615125868055556,0.049506293402777776,-0.904296875,-0.017578125,1.20947265625
74,0.2834743923611111,0.07866753472222222,0.3411187065972222,-0.8720703125,-0.05419921875,1.0078125
75,0.046454535590277776,0.12647840711805555,0.6279839409722222,-0.87939453125,0.1025390625,0.75048828125
76,0.0152587890625,0.2865261501736111,0.7870144314236112,-0.4677734375,0.0107421875,0.8955078125
77,-0.11359320746527778,0.14241536458333334,0.8005777994791666,0.04443359375,-0.01953125,0.71630859375
78,-0.22142198350694445,0.3665500217013889,0.4764133029513889,-0.01171875,-0.13818359375,0.80908203125
79,-0.2261691623263889,-0.021023220486111112,0.5574544270833334,0.52392578125,-0.29052734375,1.0673828125
80,-0.2587212456597222,-0.2373589409722222,0.3780788845486111,0.98046875,-0.30712890625,1.00390625
81,-0.1519097222222222,0.006103515625,-0.005425347222222222,1.25927734375,-0.1923828125,1.17919921875
82,0.005764431423611111,-0.06612141927083333,-0.3875732421875,1.0595703125,-0.0390625,1.13330078125
83,0.023735894097222224,-0.1220703125,-0.6676567925347222,0.94873046875,-0.12451171875,1.21533203125
84,0.15089246961805555,-0.12953016493055555,-0.9884304470486112,0.634765625,-0.2587890625,1.283203125
85,0.1712375217013889,-0.1976860894097222,-1.1294894748263888,-0.00439453125,-0.36962890625,1.048828125
86,0.10002983940972222,-0.06137424045138889,-1.0732014973958333,-0.7880859375,-0.38134765625,0.87451171875
87,0.027126736111111112,-0.14851888020833334,-0.7615831163194444,-1.32177734375,-0.125,1.16162109375
88,0.09087456597222222,-0.14851888020833334,-0.3373887803819444,-1.2158203125,-0.05078125,1.13623046875
89,0.06883409288194445,-0.07188585069444445,-0.07120768229166667,-0.783203125,-0.03271484375,0.93408203125
90,0.019666883680555556,0.06781684027777778,0.030178493923611112,-0.69775390625,-0.0224609375,0.89990234375
91,-0.0003390842013888889,0.08477105034722222,0.2197265625,-0.87109375,-0.0146484375,0.95166015625
92,-0.08782280815972222,0.2017550998263889,0.4550509982638889,-0.919921875,-0.04248046875,0.89599609375
93,-0.1590304904513889,0.1400417751736111,0.84228515625,-1.0283203125,-0.05078125,0.96044921875
94,-0.2037896050347222,-0.2227783203125,1.0457356770833333,-0.640625,-0.16943359375,0.92138671875
95,-0.17225477430555555,0.12715657552083334,1.1315239800347223,0.228515625,-0.3876953125,0.9462890625
96,-0.23328993055555555,-0.014580620659722222,0.9646945529513888,0.7666015625,-0.505859375,0.837890625
97,-0.2590603298611111,0.11766221788194445,0.6191677517361112,1.13525390625,-0.48681640625,1.0908203125
98,-0.06883409288194445,0.0003390842013888889,0.2736409505208333,1.1806640625,-0.3505859375,1.15771484375
99,-0.013224283854166666,-0.0091552734375,-0.0644259982638889,1.06787109375,-0.1279296875,0.85791015625
100,-0.050862630208333336,-0.027804904513888888,-0.3740098741319444,0.92529296875,-0.09765625,0.88671875
101,0.0006781684027777778,-0.058661566840277776,-0.6649441189236112,0.7509765625,-0.26708984375,1.2763671875
102,0.12274848090277778,-0.10172526041666667,-0.8494059244791666,0.369140625,-0.35009765625,1.134765625
103,0.1461452907986111,-0.189208984375,-0.9392632378472222,0.03125,-0.2802734375,1.1591796875
104,0.11189778645833333,-0.1675075954861111,-0.909423828125,-0.3642578125,-0.23095703125,1.07568359375
105,0.0979953342013889,-0.2007378472222222,-0.7425944010416666,-0.52197265625,-0.17529296875,1.13671875
106,0.1095241970486111,-0.15699598524305555,-0.5767822265625,-0.68603515625,-0.14453125,1.04296875
107,0.1064724392361111,-0.12139214409722222,-0.3909640842013889,-0.6572265625,-0.0986328125,1.05859375
108,0.0729031032986111,-0.11427137586805555,-0.2081976996527778,-0.568359375,-0.05712890625,0.94482421875
109,-0.012546115451388888,-0.022040473090277776,-0.054253472222222224,-0.37841796875,-0.025390625,0.85791015625
110,-0.0396728515625,0.013902452256944444,0.0213623046875,-0.2333984375,0.0302734375,0.85546875
111,-0.0735812717013889,0.05018446180555555,0.0949435763888889,-0.048828125,0.033203125,0.98046875
112,-0.022718641493055556,0.06883409288194445,0.08375379774305555,0.119140625,0.029296875,1.04638671875
113,-0.011528862847222222,-0.037299262152777776,0.011867947048611112,0.20068359375,0.0478515625,1.04248046875
114,0.020005967881944444,-0.035603841145833336,-0.018310546875,0.12744140625,0.0634765625,1.06005859375
115,0.059000651041666664,-0.0010172526041666667,0.004408094618055556,0.08984375,0.037109375,1.03369140625
116,0.0579833984375,-0.002373589409722222,-0.020684136284722224,0.05810546875,0.01416015625,0.97607421875
117,0.035942925347222224,-0.0335693359375,-0.007459852430555556,0.0009765625,-0.01220703125,0.95556640625
118,0.018310546875,-0.07765028211805555,0.04238552517361111,-0.015625,-0.0986328125,0.9228515625
119,0.03662109375,0.004069010416666667,0.08171929253472222,0.02197265625,-0.0498046875,0.89501953125
120,-0.04408094618055555,-0.005086263020833333,0.038994683159722224,0.04443359375,0.05517578125,0.8857421875
121,-0.09969075520833333,-0.057305230034722224,0.0213623046875,-0.00830078125,0.140625,1.0439453125
